Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Product Description,Manufacturer
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=fpCNS&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=ZVX8WG7JDPT7MK3RVHW5&pd_rd_wg=z0Dsb&pd_rd_r=d2d940dc-5dba-450a-bbd8-234fda345981&qid=1688668922,,,,bags for girls,,,
,,,,,,,
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,,,,or,,,
https://www.amazon.in/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=1aVEs&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=VX6ZHBF0YE7AYZWNF486&pd_rd_wg=f43x5&pd_rd_r=ccb8f74b-b88f-4e8f-96ac-c852cd9b286c&qid=1688668923,,,,,,,
,,,,,,,
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,Skybags Brat Black 46 Cms Casual Backpack,599,4.1,"5,000",B08Z1HHHTD,,
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0,"55,188",B07CJCGM1M,,Brand: American Tourister
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),550,4.3,"11,550",B084JGJ8PF,,
https://www.amazon.in/s/ref=sxin_14_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=ZgVHH&content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb:amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=VX6ZHBF0YE7AYZWNF486&pd_rd_wg=OuyUl&pd_rd_r=e0772fed-f9e2-4b5d-be32-85cd0d0b26ea&qid=1688668923,,709,4.2,Amazon’s private and select curated brands,,,
https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,709,4.2,603,B09W3XLDM2,,
